,Assortativity,Average clustering coefficient,Average shortest path length,Average square clustering,Degree (min),Degree (max),Degree (avg),Degree (std),Degree (med),Density,Edge betweenness centrality (min),Edge betweenness centrality (max),Edge betweenness centrality (avg),Edge betweenness centrality (std),Edge betweenness centrality (med),Eccentricity (min),Eccentricity (max),Eccentricity (avg),Eccentricity (std),Eccentricity (med),Fraction of nodes in the barycenter,Fraction of nodes in the center,Fraction of nodes in the periphery,Global efficiency,Local efficiency (min),Local efficiency (max),Local efficiency (avg),Local efficiency (std),Local efficiency (med),Modularity,Node betweenness centrality (min),Node betweenness centrality (max),Node betweenness centrality (avg),Node betweenness centrality (std),Node betweenness centrality (med),Node strength (min),Node strength (max),Node strength (avg),Node strength (std),Node strength (med),Rich club coefficient (min),Rich club coefficient (max),Rich club coefficient (avg),Rich club coefficient (std),Rich club coefficient (med),Transitivity
signf_corr_before_Glut_Test2_Week_2_2022_09_01_14_27_51_FluoSZ17012_CS2A1S1_stack_SZ_ts,0.6031691052577964,0.31048255968305294,0.21908323577879157,0.18621309415662834,0.0,0.3359268614393814,0.13408525140084504,0.173462926630711,0.09725783073029548,0.13413369951448198,0.1930533604274855,0.04245932535534109,0.13401957665856498,0.09989408053477385,0.16088717012363965,0.19810383183348487,0.14284822780400183,0.16892678000302566,0.10698458671850382,0.1674892175002479,0.2635873947682483,0.2635873947682483,0.3637465687572282,0.4960687498396885,0.0,0.8476987305545101,0.6960556276561236,0.4471613689614897,0.6487684483129557,0.6550254444384997,0.0,0.04032123383850464,0.20162085464843124,0.09231414180851634,0.4890784015034257,0.0,0.3438561151846079,0.12405020939397482,0.18532123308509627,0.08107426148842632,0.2073626067977526,1.0,0.6189695978376392,0.9216689762193689,0.38105926022213554,0.23206888162665162
signf_corr_before_Glut_Test2_Week_6_2022_09_29_15_03_02_FluoSZ17228_CS3A1S1_stack_SZ_ts,0.669652045321236,0.2850049371141882,0.31430828320547943,0.2517803181346402,0.0,0.3229856439559515,0.20248682511586635,0.28008008577589094,0.11657158072746313,0.20263951866308097,0.28739650207836154,0.11793271831169824,0.1608005074035301,0.19306761479721818,0.11903596223922591,0.2971758894282178,0.3180885775724328,0.31594808930839324,0.3651188574184374,0.31442343728672084,0.39075948495489915,0.39075948495489915,0.4736220355332321,0.496063465225536,0.0,0.5317998569530258,0.6161777122121523,0.4628279203612622,0.6861017952973762,0.621858318136,0.0,0.1319769001104809,0.31121975076429154,0.2275013351158895,0.4774694026527029,0.0,0.1997452433203765,0.14175210700823757,0.19379974568451072,0.07967175866292885,0.0,0.10267471958584984,0.23639174472356128,0.20071818606265002,0.2335747620893639,0.37908271600681986
signf_corr_before_Glut_Test2_Week_2_2022_09_02_13_03_28_FluoSZ17012_CS3A1S1_stack_SZ_ts,0.7654416508336443,0.21524209537134487,0.40113860345525787,0.12899262569317343,0.0,0.11816825138159465,0.09208205132014778,0.06942632924543385,0.07404593070375391,0.092214046324849,0.2971617238183503,0.07148703682120641,0.3074607126277742,0.24967112437192612,0.36465854681011084,0.32652477665159185,0.24076364015780002,0.3075864441970546,0.17287395451703536,0.31044030501080166,0.40263256161314415,0.40263256161314415,0.48388025994377104,0.31925875018936134,0.0,0.3307791000490754,0.43173327856425936,0.5251705656272194,0.46019285506706087,0.8809561302504607,0.0,0.13281079325712003,0.3849440723969937,0.21056559868809793,0.6183410924776879,0.0,0.08032007592638171,0.055345978359848724,0.045711999345686594,0.05241118628875137,0.16955399275337374,1.0,0.4618224092658306,0.9549308567593809,0.14174962607051478,0.25999409902113824
signf_corr_before_Glut_Test2_Week_6_2022_09_29_11_40_54_FluoSZ17228_CS2A1S1_stack_SZ_ts,0.5463114609115974,0.25079192921575677,0.07395079858561332,0.17056934631690462,0.0,0.25771585322668605,0.23280713159938687,0.20763903635859016,0.1984338823849313,0.2327341136861303,0.12783251354274125,0.015714146951985697,0.04018495712191417,0.026941296052338082,0.05138394264251861,0.07240711294995003,0.0696773314666713,0.05992992670068889,0.04753772292434101,0.05937471456200474,0.15593046811079952,0.15593046811079952,0.06736121480400625,0.7612612251157103,0.0,0.5346245433645107,0.7493372719940399,0.26344474675745455,0.6731646205030328,0.551179772949054,0.0,0.0348628973206012,0.0670109756633436,0.053150854221324664,0.24637114184295889,0.0,0.3438268836752276,0.2797915672969855,0.27560481954746285,0.2279926133804137,0.29179188867748607,0.5081967213114754,0.1497560757863433,0.25497539510564116,0.07518209010988236,0.22171581943328822
signf_corr_before_Glut_Test2_Week_2_2022_09_01_10_51_35_FluoSZ17228_CS1A1S1_stack_SZ_ts,0.18578230036803714,0.6953048720332539,0.07135889666352635,0.6737448399657722,0.0,0.7651963363953658,0.43148016902778263,0.6784765381376778,0.29026807107764446,0.43125392687445585,0.1144546326662651,0.1865661403141299,0.010130902619467117,0.06452558747032099,0.0012293273662526845,0.06724010597435306,0.0516910462435107,0.058524190859924635,0.0544714160590105,0.06601811978676073,0.13063531165255554,0.13063531165255554,0.05643382846105005,0.7741502616928193,0.0,0.29715824467394114,0.889356607042425,0.40425309929815834,0.9929719159096821,0.5698147141986698,0.0,0.31542806703501225,0.05553795821965979,0.32338049071477315,0.010846745843877204,0.0,0.860407509816627,0.5897733768589952,0.848470337413939,0.3943154464527831,0.48624337854498223,1.0,0.4719193046845648,0.41280357288289027,0.33183176201099573,0.5865159993410011
signf_corr_before_Glut_Test2_Week_6_2022_09_27_15_03_44_FluoSZ17012_CS2A1S1_stack_SZ_ts,0.5504496229850498,0.43526770483878974,0.17715276160021087,0.3420985163228838,0.0,0.6057206721115278,0.275795559706759,0.3632197141413726,0.196355447727684,0.27581570005359235,0.1836727387294495,0.029600244403482655,0.06390906919200168,0.06470513670544627,0.06208016596309028,0.1413816508162469,0.12046098600650121,0.1319448704507802,0.07625874312001728,0.13180812936112038,0.24937272062274357,0.24937272062274357,0.10772781999340811,0.7176805290736668,0.0,0.5880870094230768,0.836413029761669,0.3348083693873505,0.8744445988214982,0.6411224261732307,0.0,0.07305486633351159,0.14890638808556192,0.08492627851341576,0.44421956961711623,0.0,0.5204956809911971,0.2546853712269538,0.3399427143506306,0.16805247232498483,0.32605868830492807,1.0,0.6613590402096858,0.8568742942712552,0.41045724932375127,0.4074121760948858
signf_corr_before_Glut_Test2_Week_2_2022_08_05_15_50_04_FluoSZ9322_CS5A1S_stack_SZ_ts,0.825798689880733,0.4970430708613828,0.2537369373852028,0.4977826819803388,0.0,0.5280674260399485,0.4356730928920385,0.5731843554747575,0.2890201552987832,0.43587196893893176,0.2755327833634098,0.19351679148720094,0.06526998187182192,0.15278694843652163,0.026390581465097082,0.24693490059503462,0.2190781496457647,0.2309935202735295,0.17696195483481264,0.23045038527925618,0.37605948528278627,0.37605948528278627,0.4609213767392316,0.7725018988952443,0.0,0.5007249844617236,0.7106505231415801,0.34095431212171534,0.7939805620598168,0.6101412757359752,0.0,0.1960098326467739,0.21798376584561044,0.3179440311862882,0.1950734244130949,0.0,0.352910256024917,0.3426845932258943,0.4148425751947681,0.20885739766476677,0.471350324348261,1.0,0.3781247861788216,0.3373450096518018,0.26725552259679713,0.7811565474594634
signf_corr_before_Glut_Test2_Week_6_2022_09_28_15_56_31_FluoSZ17228_CS1A1S1_stack_SZ_ts,0.0,0.6832073227334076,0.27239165075582245,0.6233166376920996,0.0,0.9630550092997876,0.34374973719679874,0.6114055512431242,0.18216527154259277,0.3439987871702641,0.31824667187752015,0.4532315938848639,0.09651120853104576,0.3428778445630026,0.008429648251571074,0.1801532062950734,0.19666739829182137,0.21152001702741793,0.2507686320313902,0.19621290215174544,0.42761918562527174,0.42761918562527174,0.1847294384876099,0.7965527453752208,0.0,0.6071731316700868,0.7867526276690322,0.47423649502946597,0.9207019469413593,0.5538956525771555,0.0,0.9920090054641898,0.22447466629150445,0.9262800272736473,0.0,0.0,0.44569774426493036,0.2603743924614831,0.40234379297816325,0.1380932418246648,0.0,0.0,0.3330430668107406,0.015210291833656797,0.3145230456439704,0.4044669340430197
signf_corr_before_Glut_Test2_Week_6_2022_08_26_11_13_17_FluoSZ9322_CS3A1S_stack_SZ_ts,0.14420210405654,0.818399668995165,0.14097301230021309,0.8649820993210287,0.0,0.910607875567014,0.6122212384334711,0.8697101333339505,0.4593015565574527,0.6121409537480723,0.0,0.34011783460826234,0.01678406966676217,0.1507397303282651,0.0034828290432671783,0.13857056348552962,0.13596088589601776,0.13833029360673418,0.14509974953775906,0.14246312211003712,0.24096730952510098,0.24096730952510098,0.10409672268879436,0.8665108390386729,0.0,0.5702629838171394,0.8775522851210229,0.41513749156955093,1.0,0.5753596218764934,0.0,0.6409003068951911,0.12432979412317038,0.572739925855039,0.0,0.0,0.7872350895515312,0.6640951921712633,0.847732695827169,0.49270809836938584,0.6460997175888833,1.0,0.48607239262436974,0.304089246161798,0.36576572524348494,0.7570287932428462
signf_corr_before_Glut_Test2_Week_2_2022_08_03_11_34_02_FluoSZ9322_CS1A1S_stack_SZ_ts,0.5625089326736177,0.330826320196279,0.0,0.2604331844573117,0.0,0.4084629028957711,0.3527404655724569,0.2933063164562845,0.30054178341910465,0.35251750946580407,0.0,0.01277284390941117,0.007760712519426467,0.0,0.01340529607646974,0.0,0.015985403214025834,0.0002248750960547885,0.01820797122364891,0.0,0.08418195168623499,0.08418195168623499,0.20874198581878414,0.9999999999999998,0.0,0.24460248801078244,0.9432916312925874,0.0,0.84423189530759,0.5825712098310594,0.0,0.06323654777636241,0.0,0.051450366832894515,0.0985826021300017,0.0,0.5957020414472008,0.49191771175171284,0.43886059403748645,0.3995282276188546,0.38353942780344036,1.0,0.24062250163512666,0.4305713774511569,0.11081698984526789,0.2987303241056388
signf_corr_before_Glut_Test2_Week_6_2022_09_28_10_15_20_FluoSZ17012_CS3A1S1_stack_SZ_ts,0.9421995847451311,0.5282013310441117,0.4162565545948561,0.4444801525697798,0.0,0.26545991452234946,0.22408019105924887,0.29504118045571076,0.14812475210520373,0.2242252683578488,0.27174108798135493,0.22238015501019248,0.15837320808340868,0.2786689411519358,0.05479191080860215,0.2936806158839822,0.2538387664542624,0.3142376084777908,0.22267738583228974,0.3203946810472892,0.37129465780286003,0.37129465780286003,0.4568046114749694,0.415139809475489,0.0,0.13804709234207868,0.6846660029507399,0.3752380205773269,0.7650876257173209,1.0,0.0,0.20946314993385567,0.36862298970678875,0.35900795008537856,0.3546721736962788,0.0,0.20005561758219767,0.1775684843038773,0.230865999535134,0.11178548698087813,0.2868416483002738,0.596469104665826,0.30283882745541135,0.4002214465093571,0.1819201919614668,0.740472573718025
signf_corr_before_Glut_Test2_Week_6_2022_08_26_15_05_48_FluoSZ9322_CS4A1S_stack_SZ_ts,0.45660823812176826,0.6898527827212236,0.7079426444295889,0.7942901191200589,0.0,0.7830979213459845,0.7174478817141682,0.8917112418330606,0.6384025264166543,0.7193518953925915,1.0,0.5196995808083223,0.1837407901725149,0.4788412942761167,0.032517157980187145,0.6532874708141818,0.6376398419041217,0.6892055587352128,0.5471209215658195,0.6928691345948848,1.0,1.0,0.9999999999999999,0.9398848041039207,0.0,0.2643162453915666,0.6388621347612495,0.6367078277539486,0.9314563280970076,0.569848726649687,0.0,0.5190876347471766,0.5608892132947942,0.8603793376112346,0.07149445344634177,0.0,0.17940036759126268,0.2734480688139739,0.2719022358181875,0.26323133373702595,0.0,0.34426229508196726,0.36856436451592256,0.0,0.3018018370242852,0.8883684555361139
signf_corr_before_Glut_Test2_Week_2_2022_08_05_11_47_47_Fluo9001_CS1A1S1_stack_CTL_ts,0.7827437715436953,0.2541862552453803,0.2245884817204971,0.13613608744078365,0.0,0.19785164427565521,0.1691266023185939,0.11196242665047479,0.14247733136777554,0.16921892928412754,0.22594824093159277,0.02334948063484018,0.13685573400581535,0.09944765570618573,0.1728144711888669,0.2301566542803575,0.17587414681469818,0.2020962640169964,0.14214002414661836,0.2005942522090727,0.31088024145360654,0.31088024145360654,0.13429877416899363,0.6181217922924065,0.0,0.6497131736004187,0.7278833389626651,0.23046955902597333,0.6493117602290814,0.658646250767049,0.0,0.052563600528127016,0.2107079381448688,0.10851352291528339,0.512745824793965,0.0,0.1638669798745971,0.13363581434301902,0.09918505837831026,0.11344821047802366,0.2259713308626352,1.0,0.2574939546502216,0.6998071528153041,0.09530517232578534,0.2460913091327448
signf_corr_before_Glut_Week_6_2022_09_28_11_38_52_Fluo5439_CS3A1S1_stack_CTL_ts,0.6200802130049139,0.0941354553896484,0.06396752774055375,0.0802354956506246,0.0,0.4215554763146306,0.0655482578154621,0.19064133201430639,0.015892383994986346,0.0655133738290869,0.09230796912391817,0.009413754834970256,0.08124531800626335,0.058838177595249036,0.07872040566459629,0.08265693988277398,0.10170857391548441,0.08959572500681953,0.15631640491775672,0.0821439217652016,0.08525171697039785,0.08525171697039785,0.03682833309506103,0.27661823077413894,0.0,0.7447402621769528,0.5099861501336114,0.8123014934145054,0.7443901718322077,0.10132174208750566,0.0,0.009890538293248763,0.10310348875570383,0.035924644219337956,0.41394241177744096,0.0,0.5722709001729847,0.11436344463277734,0.3239954705790099,0.023420053776631398,0.1520815170223416,1.0,0.9479689246614054,0.8051392837071604,0.8947608524756582,0.27886150592265924
signf_corr_before_Glut_Test2_Week_2_2022_09_09_10_30_45_Fluo9062_CS3A1S1_stack_CTL_ts,0.6552682844882913,0.1839817660743185,0.29670985293417496,0.09436065551361517,0.0,0.398689234615169,0.1040970951662049,0.19927337975196202,0.0552690219849675,0.10418693465433854,0.26802712558644975,0.10144904523127624,0.19718037212214454,0.15566214377850146,0.26234142384125547,0.2549429550725263,0.2718644281731456,0.25646760591751727,0.23467209498464375,0.2510988558332672,0.3665951019322478,0.3665951019322478,0.45274424025542315,0.3150348772165332,0.0,1.0,0.3516029891130308,0.637682743211057,0.41762236298614797,0.24100901567103117,0.0,0.16626997933107202,0.26812639977185093,0.15970947733289015,0.5321408432962945,0.0,0.3270906437066933,0.08518331111506403,0.18388811914882078,0.03687318583575315,0.19776980860101515,1.0,0.7823989306241836,0.8856200705357907,0.6603157800193258,0.19461418543926434
signf_corr_before_Glut_Test2_Week_2_2022_08_05_17_03_14_Fluo9001_CS4A1S1_stack_CTL_ts,0.7848623313491421,0.6925449215997276,0.42549670027554176,0.6673461384910093,0.0,0.7223558598547957,0.5949981840792096,0.7137378725091315,0.5049005571922287,0.5956548369518209,0.4272958971198214,0.31272730518542496,0.08922959674926129,0.23499514248367054,0.02737963766837729,0.30824636196871846,0.29562663731775896,0.35652548579593035,0.21533991419290666,0.3612860824664178,0.5453001155135957,0.5453001155135957,0.607143658820015,0.9102381419356795,0.0,0.0,0.7974358032309654,0.1625330508916727,0.7924022558127795,0.6032238702577588,0.0,0.52010414781479,0.32884940656328576,0.5248473957364396,0.23687740921528164,0.0,0.329368037183142,0.3672554777172202,0.387252594692272,0.3010519914958571,0.5901518997793169,1.0,0.5625884134049225,0.6331722243082322,0.3146919479110234,0.8697344737701757
signf_corr_before_Glut_Test2_Week_2_2022_09_09_13_45_10_Fluo9062_CS4A1S1_stack_CTL_ts,0.7029741088751817,0.22529161228086925,0.18982031933327437,0.11751732491856798,0.0,0.278028432791351,0.11148467933872762,0.13574573960997544,0.08415826319054254,0.11151921909516474,0.1795722636424096,0.020029476453227543,0.13145567764369268,0.08966910757770617,0.18752329485772265,0.16883107691217222,0.11632637467859344,0.14118724083521675,0.07456024832070345,0.14161489713200084,0.24304509572634064,0.24304509572634064,0.3459982193153883,0.47245860671353146,0.0,0.7573772082991064,0.569770616554854,0.4454117292698525,0.5807795981338892,0.4798375113379172,0.0,0.05827911129616983,0.17437448628598942,0.09058749429378916,0.48111847084361253,0.0,0.32980817259716355,0.11428546686053068,0.17115796215889148,0.07800772909915459,0.1901064268166092,1.0,0.6457683284365965,0.9742913961609571,0.47691318915871506,0.16430929175828257
signf_corr_before_Glut_Test2_Week_2_2022_09_08_12_25_59_Fluo9062_CS1A1S1_stack_CTL_ts,0.7571010021653581,0.13522585857116998,0.24480028989837221,0.06091271323190817,0.0,0.008043815980224966,0.08121286821289601,0.024519953819661183,0.07663877044867325,0.08127327118341646,0.18863664776696745,0.027904288728220296,0.20324287916447933,0.13303647661578494,0.2904390703514739,0.25131140513661965,0.23591810011245776,0.23327996455839226,0.1878794012517927,0.22952932249863342,0.25693879828463023,0.25693879828463023,0.1109963292769433,0.42786533952129235,0.0,0.14544458946974004,0.5028314220596388,0.41287046675938543,0.5061627483452389,0.775056838866135,0.0,0.0613529926527039,0.24086975836206673,0.1009089863546173,0.6224954926666153,0.0,0.07564720442105158,0.0705619060619285,0.04706774843811884,0.06505071537822928,0.0,0.21311475409836056,0.0,0.13572139006636075,0.0,0.15986917783470456
signf_corr_before_Glut_Week_6_2022_09_27_13_52_29_Fluo5439_CS2A1S1_stack_CTL_ts,0.5590543757759072,0.031819217677020784,0.37935211523562706,0.005973214002462146,0.0,0.31452637377554377,0.029685104329338366,0.10175574054198738,0.01358159539770569,0.02976259420988807,0.2820309837165067,0.09256817999651912,0.3470346319515015,0.27835054810977444,0.46552336287009943,0.40762852163077323,0.43647193105526594,0.4267498750748453,0.4356695629535739,0.41540103465316647,0.38414964903675936,0.38414964903675936,0.16595080704344126,0.0,0.0,0.6935122173631392,0.0,0.8305541787321868,0.0,0.23479529565627333,0.0,0.12698100798963707,0.37392791114771096,0.2320287804980949,0.6470238164696548,0.0,0.28152102707504145,0.02396878782503606,0.11145924802590021,0.005423202349250079,0.13949956141111522,1.0,0.9149031021517242,0.8728960674410188,0.8707659393658521,0.09869834682786238
